Query,Target,Stance
Video gaming is a great way to bond with friends!,video gaming is a sport,2
Video gaming is a great way to improve your reflexes!,video gaming is a sport,2
Video gaming is a great way to get exercise!,video gaming is a sport,2
"If video gaming is a sport, then I'm the greatest athlete in the world.",video gaming is a sport,2
"If video gaming is a sport, then I'm pretty sure I just won the Olympics.",video gaming is a sport,2
"If video gaming is a sport, then I'm pretty sure I'm the world's biggest loser.",video gaming is a sport,2
"If video gaming is a sport, then I'm pretty sure I'm going to be broke.",video gaming is a sport,2
"If video gaming is a sport, then I'm pretty sure I'm going to be single forever.",video gaming is a sport,2
"some people think video gaming is a sport, while others don't. it's up to each individual to decide what they think.",video gaming is a sport,2
"there are many different types of video games, so there's something for everyone to enjoy.",video gaming is a sport,2
video gaming can be a fun way to spend time with friends or family.,video gaming is a sport,2
some people are very passionate about video gaming and take it very seriously.,video gaming is a sport,2
"whether or not you think video gaming is a sport, there's no denying that it's a popular pastime for many people.",video gaming is a sport,2
